model_size,speaker,passage,group,TP,FP,FN,precision,recall,f1
small,SA003,grandfather,Insertion Errors,0,0,1,0,0,0
small,SA003,grandfather,Repetition Errors,0,0,0,0,0,0
small,SA003,rainbow,Substitution Errors,0,0,0,0,0,0
small,SA003,rainbow,Deletion Errors,0,2,1,0,0,0
small,SA003,rainbow,Insertion Errors,1,12,0,0.07692307692,1,0.1428571429
small,SA003,rainbow,Repetition Errors,0,0,0,0,0,0
small,SA004,grandfather,Substitution Errors,11,31,4,0.2619047619,0.7333333333,0.3859649123
small,SA004,grandfather,Deletion Errors,1,2,11,0.3333333333,0.08333333333,0.1333333333
small,SA004,grandfather,Insertion Errors,2,3,10,0.4,0.1666666667,0.2352941176
small,SA004,grandfather,Repetition Errors,0,5,2,0,0,0
small,SA004,rainbow,Substitution Errors,3,19,3,0.1363636364,0.5,0.2142857143
small,SA004,rainbow,Deletion Errors,0,2,2,0,0,0
small,SA004,rainbow,Insertion Errors,1,1,1,0.5,0.5,0.5
small,SA004,rainbow,Repetition Errors,0,2,1,0,0,0
small,SA005,grandfather,Substitution Errors,3,11,3,0.2142857143,0.5,0.3
small,SA005,grandfather,Deletion Errors,0,0,2,0,0,0
small,SA005,grandfather,Insertion Errors,1,0,1,1,0.5,0.6666666667
small,SA005,grandfather,Repetition Errors,0,0,0,0,0,0
small,SA005,rainbow,Substitution Errors,2,5,0,0.2857142857,1,0.4444444444
small,SA005,rainbow,Deletion Errors,0,0,1,0,0,0
small,SA005,rainbow,Insertion Errors,0,0,1,0,0,0
small,SA005,rainbow,Repetition Errors,0,0,0,0,0,0
small,SA006,grandfather,Substitution Errors,6,15,2,0.2857142857,0.75,0.4137931034
small,SA006,grandfather,Deletion Errors,0,0,0,0,0,0
small,SA006,grandfather,Insertion Errors,0,0,8,0,0,0
small,SA006,grandfather,Repetition Errors,0,0,2,0,0,0
small,SA006,rainbow,Substitution Errors,1,18,3,0.05263157895,0.25,0.08695652174
small,SA006,rainbow,Deletion Errors,0,3,1,0,0,0
small,SA006,rainbow,Insertion Errors,0,4,4,0,0,0
small,SA006,rainbow,Repetition Errors,1,3,2,0.25,0.3333333333,0.2857142857
medium,SA001,grandfather,Substitution Errors,8,8,3,0.5,0.7272727273,0.5925925926
medium,SA001,grandfather,Deletion Errors,0,4,4,0,0,0
medium,SA001,grandfather,Insertion Errors,0,0,6,0,0,0
medium,SA001,grandfather,Repetition Errors,0,0,1,0,0,0
medium,SA001,rainbow,Substitution Errors,1,12,1,0.07692307692,0.5,0.1333333333
medium,SA001,rainbow,Deletion Errors,0,0,1,0,0,0
medium,SA001,rainbow,Insertion Errors,1,0,6,1,0.1428571429,0.25
medium,SA001,rainbow,Repetition Errors,0,1,1,0,0,0
medium,SA002,grandfather,Substitution Errors,12,14,2,0.4615384615,0.8571428571,0.6
medium,SA002,grandfather,Deletion Errors,1,0,9,1,0.1,0.1818181818
medium,SA002,grandfather,Insertion Errors,0,1,7,0,0,0
medium,SA002,grandfather,Repetition Errors,0,1,3,0,0,0
medium,SA002,rainbow,Substitution Errors,4,6,2,0.4,0.6666666667,0.5
medium,SA002,rainbow,Deletion Errors,0,0,5,0,0,0
medium,SA002,rainbow,Insertion Errors,2,1,2,0.6666666667,0.5,0.5714285714
medium,SA002,rainbow,Repetition Errors,0,0,0,0,0,0
medium,SA003,grandfather,Substitution Errors,1,3,1,0.25,0.5,0.3333333333
medium,SA003,grandfather,Deletion Errors,0,0,0,0,0,0
medium,SA003,grandfather,Insertion Errors,0,0,1,0,0,0
medium,SA003,grandfather,Repetition Errors,0,0,0,0,0,0
medium,SA003,rainbow,Substitution Errors,0,0,0,0,0,0
medium,SA003,rainbow,Deletion Errors,0,2,1,0,0,0
medium,SA003,rainbow,Insertion Errors,0,1,1,0,0,0
medium,SA003,rainbow,Repetition Errors,0,0,0,0,0,0
medium,SA004,grandfather,Substitution Errors,10,18,4,0.3571428571,0.7142857143,0.4761904762
medium,SA004,grandfather,Deletion Errors,2,1,11,0.6666666667,0.1538461538,0.25
medium,SA004,grandfather,Insertion Errors,3,1,10,0.75,0.2307692308,0.3529411765
medium,SA004,grandfather,Repetition Errors,0,4,2,0,0,0
medium,SA004,rainbow,Substitution Errors,4,9,3,0.3076923077,0.5714285714,0.4
medium,SA004,rainbow,Deletion Errors,0,1,2,0,0,0
medium,SA004,rainbow,Insertion Errors,1,1,1,0.5,0.5,0.5
medium,SA004,rainbow,Repetition Errors,0,2,1,0,0,0
medium,SA005,grandfather,Substitution Errors,4,11,1,0.2666666667,0.8,0.4
medium,SA005,grandfather,Deletion Errors,0,0,2,0,0,0
medium,SA005,grandfather,Insertion Errors,0,0,2,0,0,0
medium,SA005,grandfather,Repetition Errors,0,0,0,0,0,0
medium,SA005,rainbow,Substitution Errors,3,1,0,0.75,1,0.8571428571
medium,SA005,rainbow,Deletion Errors,0,0,1,0,0,0
medium,SA005,rainbow,Insertion Errors,0,0,1,0,0,0
medium,SA005,rainbow,Repetition Errors,0,0,0,0,0,0
medium,SA006,grandfather,Substitution Errors,5,21,3,0.1923076923,0.625,0.2941176471
medium,SA006,grandfather,Deletion Errors,0,0,0,0,0,0
medium,SA006,grandfather,Insertion Errors,0,4,8,0,0,0
medium,SA006,grandfather,Repetition Errors,0,4,2,0,0,0
medium,SA006,rainbow,Substitution Errors,2,7,2,0.2222222222,0.5,0.3076923077
medium,SA006,rainbow,Deletion Errors,0,0,1,0,0,0
medium,SA006,rainbow,Insertion Errors,0,1,4,0,0,0
medium,SA006,rainbow,Repetition Errors,1,0,2,1,0.3333333333,0.5
large,SA001,grandfather,Substitution Errors,6,6,4,0.5,0.6,0.5454545455
large,SA001,grandfather,Deletion Errors,0,3,4,0,0,0
large,SA001,grandfather,Insertion Errors,0,6,6,0,0,0
large,SA001,grandfather,Repetition Errors,0,6,1,0,0,0
large,SA001,rainbow,Substitution Errors,1,6,1,0.1428571429,0.5,0.2222222222
large,SA001,rainbow,Deletion Errors,0,0,1,0,0,0
large,SA001,rainbow,Insertion Errors,5,0,5,1,0.5,0.6666666667
large,SA001,rainbow,Repetition Errors,0,5,1,0,0,0
large,SA002,grandfather,Substitution Errors,8,13,4,0.380952381,0.6666666667,0.4848484848
large,SA002,grandfather,Deletion Errors,0,1,10,0,0,0
large,SA002,grandfather,Insertion Errors,0,6,7,0,0,0
large,SA002,grandfather,Repetition Errors,0,6,3,0,0,0
large,SA002,rainbow,Substitution Errors,4,2,3,0.6666666667,0.5714285714,0.6153846154
large,SA002,rainbow,Deletion Errors,0,0,5,0,0,0
large,SA002,rainbow,Insertion Errors,2,1,2,0.6666666667,0.5,0.5714285714
large,SA002,rainbow,Repetition Errors,0,0,0,0,0,0
large,SA003,grandfather,Substitution Errors,2,3,1,0.4,0.6666666667,0.5
large,SA003,grandfather,Deletion Errors,0,0,0,0,0,0
large,SA003,grandfather,Insertion Errors,0,7,1,0,0,0
large,SA003,grandfather,Repetition Errors,0,0,0,0,0,0
large,SA003,rainbow,Substitution Errors,0,0,0,0,0,0
large,SA003,rainbow,Deletion Errors,0,0,1,0,0,0
large,SA003,rainbow,Insertion Errors,1,0,0,1,1,1
large,SA003,rainbow,Repetition Errors,0,0,0,0,0,0
large,SA004,grandfather,Substitution Errors,12,17,5,0.4137931034,0.7058823529,0.5217391304
large,SA004,grandfather,Deletion Errors,1,2,11,0.3333333333,0.08333333333,0.1333333333
large,SA004,grandfather,Insertion Errors,3,2,9,0.6,0.25,0.3529411765
large,SA004,grandfather,Repetition Errors,0,5,2,0,0,0
large,SA004,rainbow,Substitution Errors,4,7,2,0.3636363636,0.6666666667,0.4705882353
large,SA004,rainbow,Deletion Errors,0,2,2,0,0,0
large,SA004,rainbow,Insertion Errors,1,7,1,0.125,0.5,0.2
large,SA004,rainbow,Repetition Errors,0,8,1,0,0,0
large,SA005,grandfather,Substitution Errors,4,4,2,0.5,0.6666666667,0.5714285714
large,SA005,grandfather,Deletion Errors,0,0,2,0,0,0
large,SA005,grandfather,Insertion Errors,0,0,2,0,0,0
large,SA005,grandfather,Repetition Errors,0,0,0,0,0,0
large,SA005,rainbow,Substitution Errors,2,2,0,0.5,1,0.6666666667
large,SA005,rainbow,Deletion Errors,0,0,1,0,0,0
large,SA005,rainbow,Insertion Errors,0,0,1,0,0,0
large,SA005,rainbow,Repetition Errors,0,0,0,0,0,0
large,SA006,grandfather,Substitution Errors,11,13,0,0.4583333333,1,0.6285714286
large,SA006,grandfather,Deletion Errors,0,0,0,0,0,0
large,SA006,grandfather,Insertion Errors,0,0,8,0,0,0
large,SA006,grandfather,Repetition Errors,0,0,2,0,0,0
large,SA006,rainbow,Substitution Errors,2,10,2,0.1666666667,0.5,0.25
large,SA006,rainbow,Deletion Errors,0,0,1,0,0,0
large,SA006,rainbow,Insertion Errors,0,1,4,0,0,0
large,SA006,rainbow,Repetition Errors,1,0,2,1,0.3333333333,0.5
turbo,SA001,grandfather,Substitution Errors,7,11,4,0.3888888889,0.6363636364,0.4827586207
turbo,SA001,grandfather,Deletion Errors,0,2,4,0,0,0
turbo,SA001,grandfather,Insertion Errors,0,2,6,0,0,0
turbo,SA001,grandfather,Repetition Errors,0,2,1,0,0,0
turbo,SA001,rainbow,Substitution Errors,1,11,1,0.08333333333,0.5,0.1428571429
turbo,SA001,rainbow,Deletion Errors,0,1,1,0,0,0
turbo,SA001,rainbow,Insertion Errors,1,0,6,1,0.1428571429,0.25
turbo,SA001,rainbow,Repetition Errors,0,1,1,0,0,0
turbo,SA002,grandfather,Substitution Errors,11,14,1,0.44,0.9166666667,0.5945945946
turbo,SA002,grandfather,Deletion Errors,1,0,9,1,0.1,0.1818181818
turbo,SA002,grandfather,Insertion Errors,0,81,7,0,0,0
turbo,SA002,grandfather,Repetition Errors,0,81,3,0,0,0
turbo,SA002,rainbow,Substitution Errors,5,7,2,0.4166666667,0.7142857143,0.5263157895
turbo,SA002,rainbow,Deletion Errors,0,0,5,0,0,0
turbo,SA002,rainbow,Insertion Errors,3,1,1,0.75,0.75,0.75
turbo,SA002,rainbow,Repetition Errors,0,0,0,0,0,0
turbo,SA003,grandfather,Substitution Errors,1,3,1,0.25,0.5,0.3333333333
turbo,SA003,grandfather,Deletion Errors,0,0,0,0,0,0
turbo,SA003,grandfather,Insertion Errors,0,0,1,0,0,0
turbo,SA003,grandfather,Repetition Errors,0,0,0,0,0,0
turbo,SA003,rainbow,Substitution Errors,0,0,0,0,0,0
turbo,SA003,rainbow,Deletion Errors,0,0,1,0,0,0
turbo,SA003,rainbow,Insertion Errors,1,0,0,1,1,1
turbo,SA003,rainbow,Repetition Errors,0,0,0,0,0,0
turbo,SA004,grandfather,Substitution Errors,12,19,3,0.3870967742,0.8,0.5217391304
turbo,SA004,grandfather,Deletion Errors,1,2,11,0.3333333333,0.08333333333,0.1333333333
turbo,SA004,grandfather,Insertion Errors,2,225,11,0.008810572687,0.1538461538,0.01666666667
turbo,SA004,grandfather,Repetition Errors,0,227,2,0,0,0
turbo,SA004,rainbow,Substitution Errors,3,13,3,0.1875,0.5,0.2727272727
turbo,SA004,rainbow,Deletion Errors,0,2,2,0,0,0
turbo,SA004,rainbow,Insertion Errors,1,0,1,1,0.5,0.6666666667
turbo,SA004,rainbow,Repetition Errors,0,1,1,0,0,0
turbo,SA005,grandfather,Substitution Errors,5,5,1,0.5,0.8333333333,0.625
turbo,SA005,grandfather,Deletion Errors,0,0,2,0,0,0
turbo,SA005,grandfather,Insertion Errors,0,86,2,0,0,0
turbo,SA005,grandfather,Repetition Errors,0,0,0,0,0,0
turbo,SA005,rainbow,Substitution Errors,3,2,0,0.6,1,0.75
turbo,SA005,rainbow,Deletion Errors,0,0,1,0,0,0
turbo,SA005,rainbow,Insertion Errors,0,1,1,0,0,0
turbo,SA005,rainbow,Repetition Errors,0,0,0,0,0,0
turbo,SA006,grandfather,Substitution Errors,9,15,0,0.375,1,0.5454545455
turbo,SA006,grandfather,Deletion Errors,0,0,0,0,0,0
turbo,SA006,grandfather,Insertion Errors,0,120,8,0,0,0
turbo,SA006,grandfather,Repetition Errors,0,120,2,0,0,0
turbo,SA006,rainbow,Substitution Errors,3,7,2,0.3,0.6,0.4
turbo,SA006,rainbow,Deletion Errors,0,0,1,0,0,0
turbo,SA006,rainbow,Insertion Errors,1,2,3,0.3333333333,0.25,0.2857142857
turbo,SA006,rainbow,Repetition Errors,1,2,2,0.3333333333,0.3333333333,0.3333333333
